"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1999","7.11","7.90","8.82","6.62","424.38K","-9.54%"
"12/01/1998","7.86","8.23","8.49","7.42","255.18K","-4.50%"
"11/01/1998","8.23","7.73","8.50","7.58","274.81K","6.74%"
"10/01/1998","7.71","7.63","7.95","7.15","242.88K","8.13%"
"09/01/1998","7.13","7.40","7.72","6.60","258.20K","-5.56%"
"08/01/1998","7.55","8.83","9.11","7.32","242.25K","-13.81%"
"07/01/1998","8.76","8.57","9.12","8.25","224.54K","3.55%"
"06/01/1998","8.46","8.28","8.97","7.20","276.98K","2.17%"
"05/01/1998","8.28","8.37","9.45","8.15","232.92K","-2.59%"
"04/01/1998","8.50","10.12","10.19","8.42","234.79K","-16.58%"
"03/01/1998","10.19","9.90","10.20","9.16","259.03K","5.71%"
"02/01/1998","9.64","11.17","11.33","9.15","258.49K","-14.16%"
"01/01/1998","11.23","12.13","12.22","10.89","334.57K","-8.10%"
