,Unnamed: 0,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,State
9,2007,115,99,263,188,473,884,1429,3681,6800,5880,2306,396,22514,minas_gerais
10,2008,99,84,113,172,285,283,767,1448,2765,4299,1436,137,11888,minas_gerais
11,2009,82,104,132,61,200,216,515,702,1380,1128,310,106,4936,minas_gerais
12,2010,132,185,121,144,246,619,1040,3634,5200,2196,119,130,13766,minas_gerais
13,2011,112,131,82,97,201,387,889,2445,5930,1251,192,49,11766,minas_gerais
14,2012,90,140,181,201,178,245,701,919,2919,4038,258,238,10108,minas_gerais
15,2013,93,161,136,80,182,191,512,933,1618,1157,244,80,5387,minas_gerais
16,2014,130,121,62,145,208,344,537,1791,3154,4373,349,123,11337,minas_gerais
17,2015,127,69,62,85,109,192,272,962,2631,3393,1340,248,9490,minas_gerais
18,2016,37,127,91,166,178,241,986,1563,1979,911,113,90,6482,minas_gerais
19,2017,99,54,99,67,124,233,471,1610,3084,2336,145,61,8383,minas_gerais
20,2018,62,60,107,56,153,201,557,553,1860,840,86,92,4627,minas_gerais
21,2019,142,111,127,85,143,322,808,1369,3833,2049,892,118,9999,minas_gerais
22,2020,80,114,82,83,166,272,536,1155,3467,2404,281,97,8737,minas_gerais
23,2021,96,40,230,150,382,519,1302,1941,5638,1627,140,45,12110,minas_gerais
24,2022,110,66,190,143,319,665,990,1120,2518,1481,121,-,7723,minas_gerais
0,1998,-,-,-,-,-,58,639,6816,6237,3666,1862,1009,20287,para
1,1999,87,285,7,6,4,37,982,6179,4417,5026,2682,766,20478,para
2,2000,30,29,181,40,12,59,426,5484,2569,4308,3366,1697,18201,para
3,2001,34,16,-,-,7,42,709,9042,6136,5102,4936,2566,28590,para
4,2002,144,120,14,11,18,149,1308,21369,11379,7848,12795,5083,60238,para
5,2003,1440,23,28,14,112,403,3814,8875,12633,6673,10732,8293,53040,para
6,2004,875,36,29,61,193,637,6620,17861,14249,7464,15958,10231,74214,para
7,2005,2861,121,32,43,101,656,9464,23635,12728,8689,9368,3779,71477,para
8,2006,855,110,18,11,8,423,1955,15064,13225,9346,9684,5141,55840,para
9,2007,817,39,17,17,90,671,1885,21386,22055,8346,10114,3054,68491,para
10,2008,240,99,11,12,30,328,3020,11035,9463,11568,9456,3187,48449,para
11,2009,466,26,11,15,8,91,703,5386,8961,9444,12485,4068,41664,para
12,2010,701,147,141,30,97,441,2065,21677,15187,6435,7544,2731,57196,para
13,2011,219,25,16,10,21,199,1024,3040,6821,4588,5760,4840,26563,para
14,2012,534,78,16,24,98,305,1041,9168,8190,5946,8871,2950,37221,para
15,2013,291,47,20,29,74,323,793,3173,4363,5510,3844,5579,24046,para
16,2014,570,30,17,23,55,284,813,8147,6636,6241,7908,4802,35526,para
17,2015,866,92,31,22,84,241,882,7672,9394,7379,9783,6718,43164,para
18,2016,1479,370,53,51,148,509,1732,5185,3878,5954,7314,3051,29724,para
