"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2004","73.10","85.55","86.15","70.50","183.35K","-14.55%"
"05/01/2004","85.55","67.00","86.50","67.00","143.32K","27.40%"
"04/01/2004","67.15","74.00","74.40","66.80","149.90K","-8.95%"
"03/01/2004","73.75","74.80","78.10","70.85","86.35K","-1.73%"
"02/01/2004","75.05","74.00","76.80","69.00","153.49K","-0.60%"
"01/01/2004","75.50","64.65","79.20","64.00","276.33K","16.24%"
"12/01/2003","64.95","57.90","65.00","57.60","26.62K","12.47%"
"11/01/2003","57.75","59.00","61.20","56.40","124.22K","-1.53%"
"10/01/2003","58.65","63.40","66.90","58.60","216.34K","-6.76%"
"09/01/2003","62.90","61.80","70.75","60.50","55.95K","2.36%"
"08/01/2003","61.45","64.00","66.75","59.00","123.67K","-3.15%"
"07/01/2003","63.45","59.00","64.10","58.00","70.42K","7.72%"
"06/01/2003","58.90","58.50","61.75","55.80","99.10K","0.94%"
"05/01/2003","58.35","68.70","70.00","58.10","82.83K","-14.51%"
"04/01/2003","68.25","58.75","68.00","57.00","129.78K","16.37%"
"03/01/2003","58.65","56.25","61.50","55.30","44.88K","3.17%"
"02/01/2003","56.85","64.80","67.25","56.80","98.32K","-12.94%"
"01/01/2003","65.30","60.50","69.50","60.25","141.48K","8.47%"
"12/01/2002","60.20","67.00","68.50","56.50","37.12K","-9.61%"
"11/01/2002","66.60","64.75","69.00","62.75","93.40K","0.99%"
"10/01/2002","65.95","54.25","73.50","54.25","170.57K","21.01%"
"09/01/2002","54.50","51.50","62.50","50.40","55.15K","5.83%"
"08/01/2002","51.50","46.50","51.75","46.00","95.63K","10.04%"
"07/01/2002","46.80","46.50","51.80","46.50","31.45K","0.65%"
"06/01/2002","46.50","51.80","52.00","46.10","82.92K","-10.40%"
"05/01/2002","51.90","50.50","53.10","47.00","36.23K","2.37%"
"04/01/2002","50.70","56.50","59.70","48.50","113.35K","-11.36%"
"03/01/2002","57.20","45.00","57.40","44.95","49.52K","27.82%"
"02/01/2002","44.75","44.00","50.50","42.70","88.89K","-0.78%"
"01/01/2002","45.10","45.50","51.60","44.50","126.42K","-2.38%"
"12/01/2001","46.20","42.75","50.00","41.50","33.24K","8.45%"
"11/01/2001","42.60","43.70","50.00","41.90","90.66K","-2.96%"
"10/01/2001","43.90","47.60","48.00","42.20","93.45K","-9.11%"
"09/01/2001","48.30","50.00","50.40","46.25","24.43K","-4.36%"
"08/01/2001","50.50","51.50","54.90","48.10","103.14K","-2.79%"
"07/01/2001","51.95","55.90","56.00","50.60","41.90K","-7.40%"
